loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B100107-5,1,1,0.0,0.0,1.0,61.0,61,61,1.0,1.0,,,1,0,2010,연체중,손실,1200,3837,200만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B100115-5,2,2,0.0,0.0,1.0,36.0,72,61,1.0,0.5,,,1,0,2010,연체중,손실,389,643,150만원,9개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1500000.0,9.0,204166.66666666663,187500.0,,,,
B100123-5,6,6,0.6667,0.5,0.3333,1.0,6,3,1.0,0.167,2.0,5.0,1,0,2010,정상종료,완납,216,1105,100만원,6개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,6.0,191666.66666666663,181250.0,,,,
B100304-5,3,3,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,455,500,50만원,3개월,0.3,여자,세,기타,,,,18.0,17.0,16.0,1.0,0.0,1,,,,,500000.0,3.0,179166.66666666666,175000.0,,,,
B100410-5,21,21,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,851,1313,300만원,24개월,0.3,남자,세,기타,,,,67.0,65.0,2.0,0.0,0.0,1,,,,,3000000.0,24.0,200000.0,164062.5,,,,
B100512-5,24,24,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,844,2007,300만원,24개월,0.3,여자,세,기타,,,,42.0,33.0,0.0,0.0,0.0,1,,,,,3000000.0,24.0,200000.0,164062.5,,,,
B100604-5,8,8,0.5,0.375,0.5,1.0,8,4,2.0,0.25,5.0,7.0,1,0,2010,정상종료,완납,203,1036,200만원,12개월,0.3,여자,세,기타,,,,23.0,7.0,12.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B100607-5,15,15,0.3333,0.0667,0.6667,5.8,87,29,1.0,0.067,2.0,7.0,1,0,2010,정상종료,완납,325,2284,300만원,15개월,0.3,여자,세,기타,,,,17.0,8.0,10.0,0.0,0.0,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B100703-5,12,12,0.9167,0.0833,0.0833,0.167,2,2,2.0,0.167,3.0,,1,0,2010,정상종료,완납,163,2552,200만원,12개월,0.3,남자,세,기타,,,,28.0,2.0,7.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B100902-5,1,1,0.0,0.0,1.0,61.0,61,61,1.0,1.0,,,1,0,2010,연체중,손실,949,653,150만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
